txn_ref,true_category,ground_truth_match
TXN-1000,CLEAN,True
TXN-1001,CLEAN,True
TXN-1002,CLEAN,True
TXN-1003,CLEAN,True
TXN-1004,CLEAN,True
TXN-1005,TIMING_LAG,False
TXN-1006,CLEAN,True
TXN-1007,CLEAN,True
TXN-1008,CLEAN,True
TXN-1009,CLEAN,True
TXN-1010,FEE_MISMATCH,False
TXN-1011,CLEAN,True
TXN-1012,CLEAN,True
TXN-1013,CLEAN,True
TXN-1014,CLEAN,True
TXN-1015,DUPLICATE,False
TXN-1016,CLEAN,True
TXN-1017,CLEAN,True
TXN-1018,CLEAN,True
TXN-1019,CLEAN,True
TXN-1020,ORPHAN,False
TXN-1021,CLEAN,True
TXN-1022,CLEAN,True
TXN-1023,CLEAN,True
TXN-1024,CLEAN,True
TXN-1025,AMOUNT_DRIFT,False
TXN-1026,CLEAN,True
TXN-1027,CLEAN,True
TXN-1028,CLEAN,True
TXN-1029,CLEAN,True
TXN-1030,CLEAN,True
TXN-1031,CLEAN,True
TXN-1032,CLEAN,True
TXN-1033,CLEAN,True
TXN-1034,CLEAN,True
TXN-1035,CLEAN,True
TXN-1036,CLEAN,True
TXN-1037,CLEAN,True
TXN-1038,CLEAN,True
TXN-1039,CLEAN,True
TXN-1040,CLEAN,True
TXN-1041,CLEAN,True
TXN-1042,CLEAN,True
TXN-1043,CLEAN,True
TXN-1044,CLEAN,True
TXN-1045,CLEAN,True
TXN-1046,CLEAN,True
TXN-1047,CLEAN,True
TXN-1048,CLEAN,True
TXN-1049,CLEAN,True
